"Player Id","Ign","Team"
1634,"Agility","ONi"
21727,"Agla","GCO Esport"
21356,"Aglay","Secha Ghouls"
1988,"AgM","Complexity Gaming"
21107,"Agnar","Team Zelus"
106,"Agnes","Alpha Six Gaming"
19472,"AGO","Trash Pandas"
16453,"agogigi","Currygold"
18333,"aGoodSin","ZERO LAG"
11355,"agp","CBDR"
6522,"Agr0","Free Fall"
22547,"agran","SNHU Penmen"
2222,"Agressive","Purple Mood E-Sport"
22220,"AG River","Agoge Gaming"
12842,"AgrumaPlay","RED"
22859,"agüero","Dark Circle"
7649,"aguit4","OnlyRefrag"
2426,"Agus","TEAM NICE"
3548,"Aguuhs","TMJ"
23810,"agxl","Rebels Squad"
23274,"Ah0","CaKe1x0"
6440,"Ah1ra","Akuma Esports"
10902,"ahad","cutie patooties"
14204,"AhB","Generetic Team Name"
23791,"Ahegao","GGEsports"
18177,"ahenjoyishere","24/7"
363,"Ahfeed",""
24854,"AhFoo","Rise To Glory"
18431,"ahlexaa","Solovinas"
23957,"AhMab","YeakSa OJK"
8505,"Ahren","Orgless OCE"
13859,"AhrenGray","Housekeeping"
18015,"Ahu","E2S Lexious"
22544,"ahyun","SNHU Penmen"
8445,"aia","Kindred"
8364,"aIbert","TROPA DO PHOTOSHOP"
21840,"Aida","Pepe E-Sports"
23332,"Aidargh","Todak Female"
8087,"AidreN","Adroit"
5271,"aieou","Inmortal Fire"
23327,"Aiera","Phenix Claire"
11223,"aika","UNLUCKY"
23844,"aika","Team Artisan"
4234,"Aiko","DNADIFF"
14511,"AikoPsycho","Flying Pigs"
17581,"Ailema","Lightality Estelle"
23219,"aillien","Duality E-Sports Banshees"
9278,"AIMDEM0N","hajty"
13070,"AIMDEMONS sense",""
3152,"aimDLL","BBL Esports"
11027,"aimer","iQ Purple"
24568," AiMERZk ","Sentient Esports"
11403,"aimex",""
2404,"AimGreen","Medellin"
7956,"aimh","Marlian eSports"
10107,"AimHero","NO ORG (SG)"
13410,"aimhunterr","Team Duelist"
12559,"aimix","Sunsparks"
12309,"aimlabel","Guardian espor"
6813,"aimless","MBVINO"
5001,"Aimless",""
20997,"aimlessV2","Overflow"
10317,"aimlockEXE",""
10012,"AimNeet","RWBY"
24652,"aimred","Lycus Empire"
4168,"aimsick",""
5123,"AIMtonio","Atún con Cebolla"
24285,"aimy","Ignite Violet"
2570,"aimzerro (copy)",""
23777,"AIM zoe","AIMPUNCH"
18050,"AinaHeho","SKAIKRU"
17842,"AiNRana","Syksy"
18204,"ainz","FIAP"
8451,"air","Mixed Reality"
18151,"Airam",""
20796,"airen","banana boys"
13192,"airjordan","westSide"
8119,"Airjuna",""
14523,"Airlocck","Natural Selection"
19720,"ai roi cung khat","Fenix Gaming"
9320,"Airos","Rose Clan"
9019,"Airou","ShadowFox Red"
11631,"Airow","TinyTurtles"
12873,"Airwave",""
16138,"Ais","Midzy"
20551,"Aisberg","Atlantis"
6641,"AiShou","XIAO"
17533,"Aisling","FUMA Gaming"
18017,"Aivy","Eight Paths: Xyra"
17852,"Aiwi","ANYWAY Fem"
16663,"aixa","Team Solace"
6493,"Aixei","D2E Black"
11246,"aiycejenn","Team Quacked"
14965,"AiyvaN1","deathwish"
10807,"Aizey","Eskişehir TepeBaşi eSport"
3764,"AJ","Gx"
7331,"ajay","Washed"
10334,"ajdârEZ","İstanbul E-spor Kulübü"
9166,"Aji",""
16925,"AJJJJJJ","Looters Club eSports"
19439,"AJKO","Snapback Pigeon"
24167,"AJLBomber",""
18289,"AJM","DRMZ Esports"
16994,"AJM",""
1853,"AjMERiTO","AMADI FERRARI"
4660,"AK","swag and friends"
13126,"A K","Meyhane"
8734,"ak3rz",""
18722,"Ak4ryss","UCV Esport fem"
19882,"AKA14","Crown Queens"
3897,"Akaashi","Ascendants"
20387,"Akacio","Team Rocket"
13258,"akairo","Unprepared"
114,"AkaJoey","Los Cancelados"
23379,"A Kakarota",""
18947,"akali","Academy BTW"
16474,"Akamans","404 Multigaming"
6771,"Akame","sadHours"
24100,"Akame",""
12282,"Akame","Jadeite"
8955,"Akame","Rebibe me Jett"
23133,"Akame (deleted)",""
21353,"akami","Space Development"
24781,"Akami","Venomy Esports"
18248,"AkaneAkai","C&S Team"
2265,"akanorf","ET ELLER ANDET FEDT"
10585,"Akantix","eSport Rhein Neckar"
2127,"akaone","Average20"
8878,"Akar1","Team Mystery"
6337,"Akarou21","Simple"
23936,"Akash","ShanXi Gaming"
12,"akashi","CERBERUS Esports"
1539,"Akashi","SMARACIS eSports"
12697,"AkashiNZ",""
19329,"Akatumami","Wildcats"
23939,"Aka恶魔附身","ShanXi Gaming"
3002,"akemy",""
6228,"akemyziNho (deleted)",""
20988,"AKessy",""
8000,"aki","IGP Alpha"
20866,"aki","sad anime gamer"
3807,"Aki","VipesAnimeCrew"
11224,"akiko","UNLUCKY"
1213,"akim","Good 8 Squad"
12945,"AKIMB0","who cars?"
8665,"Akimbo","LGI"
16685,"Akin","CrimeWave"
24252,"Akina","Lotus TR"
4769,"Akinci","ANKA E-Sports"
2615,"akioni",""
15082,"Akira","RESET"
11921,"Akira","boosted"
2332,"aKis","Stay Small, Stay Second."
25142,"akizora","Revo"
17903,"Akk1","NBD Esports"
8896,"akki","Dobrya4ki"
1744,"Akki","Yoooo"
22566,"akku","NPGTxD"
20268,"Akl3v","CRUSHERS"
22225,"Akleous","Victorem Esports"
14673,"aklise","RDP Esports"
22706,"akm","PC"
6356,"aKm",""
20580,"AKMito23","Raven tears"
23236,"AkmJ",""
10984,"aKoOo",""
15433,"AKPOWER","KnockOut Esports"
25168,"akr","NEVIS"
1002,"Akraken",""
16028,"AkrapoviC","Lv10FB"
23553,"AKRON jax","Akron Esports"
22879,"aks","Elon Homies"
5882,"akt","seleção"
10797,"Aktagon","mcchicken"
15316,"aku ","BCH"
14403,"Akua","tr0nch0m0ch0s"
3914,"Akula","StarBound"
20546,"AkuLa","Aim.Attack"
23319,"Akuma","Governors"
12155,"Akuma","OES Solo"
981,"AKUMAAAAA","Mandatory"
15109,"akumeni","rööcivarkaat"
4027,"akuoS","Fox Gaming Academy"
25212,"Akurai","Nixies Breath"
